timestamp,close_time,symbol,type,volume,price,sl,tp,comment,strategy,pnl
2025-06-10 09:00:00,2025-06-10 09:30:00,EURUSD,buy,0.1,1.0813584651212356,1.0763584651212357,1.0863584651212355,rsi signal,rsi,9.08
2025-06-10 13:00:00,2025-06-10 13:30:00,EURUSD,sell,0.1,1.0799050607705722,1.0749050607705724,1.0849050607705721,rsi signal,rsi,9.58
2025-06-10 17:00:00,2025-06-10 17:30:00,EURUSD,buy,0.1,1.081141503365628,1.076141503365628,1.0861415033656279,rsi signal,rsi,6.29
2025-06-10 21:00:00,2025-06-10 21:30:00,EURUSD,sell,0.1,1.0842589246451946,1.0792589246451947,1.0892589246451945,rsi signal,rsi,0.83
2025-06-11 01:00:00,2025-06-11 01:30:00,EURUSD,buy,0.1,1.0803871638688103,1.0753871638688104,1.0853871638688102,rsi signal,rsi,11.73
2025-06-11 05:00:00,2025-06-11 05:30:00,EURUSD,sell,0.1,1.080332213184197,1.0753322131841971,1.085332213184197,rsi signal,rsi,-5.8
2025-06-11 09:00:00,2025-06-11 09:30:00,EURUSD,buy,0.1,1.0788591302476207,1.0738591302476208,1.0838591302476206,rsi signal,rsi,8.07
2025-06-11 13:00:00,2025-06-11 13:30:00,EURUSD,sell,0.1,1.082270087706829,1.077270087706829,1.0872700877068289,rsi signal,rsi,1.33
2025-06-11 17:00:00,2025-06-11 17:30:00,EURUSD,buy,0.1,1.080161602487853,1.0751616024878532,1.085161602487853,rsi signal,rsi,1.45
2025-06-11 21:00:00,2025-06-11 21:30:00,EURUSD,sell,0.1,1.079797116228886,1.074797116228886,1.0847971162288859,rsi signal,rsi,7.46
2025-06-12 01:00:00,2025-06-12 01:30:00,EURUSD,buy,0.1,1.081559166173459,1.076559166173459,1.0865591661734588,rsi signal,rsi,3.52
2025-06-12 05:00:00,2025-06-12 05:30:00,EURUSD,sell,0.1,1.0848146097636813,1.0798146097636814,1.0898146097636812,rsi signal,rsi,1.09
2025-06-12 09:00:00,2025-06-12 09:30:00,EURUSD,buy,0.1,1.0782502283346256,1.0732502283346257,1.0832502283346255,rsi signal,rsi,-0.08
2025-06-12 13:00:00,2025-06-12 13:30:00,EURUSD,sell,0.1,1.080215890817521,1.0752158908175211,1.085215890817521,rsi signal,rsi,-4.37
2025-06-12 17:00:00,2025-06-12 17:30:00,EURUSD,buy,0.1,1.0806978830736857,1.0756978830736859,1.0856978830736856,rsi signal,rsi,14.46
